,Released,English title,Genre,Score,Popularity,Overview,Or_lan,Actor_1_name,Actor_1_popu,Actor_2_name,Actor_2_popu,Actor_3_name,Actor_3_popu
71,2014-10-09,Monsters: Dark Continent, Thriller Drama Science Fiction,4.789,13.5,"Seven years on from the events of Monsters, and the ‘Infected Zones’ have spread worldwide. Humans have been knocked off the top of the food chain, with disparate communities struggling for survival. American soldiers are being sent abroad to protect US interests from the Monsters, but the war is far from being won.",en,Johnny Harris,7.853,Sam Keeley,36.922,Joe Dempsie,16.108
72,2014-10-09,Trash, Adventure Crime Drama Thriller,7.134,12.988,"Set in Brazil, three kids who make a discovery in a garbage dump soon find themselves running from the cops and trying to right a terrible wrong.",pt,Rickson Tevez,5.94,Eduardo Luís,3.158,Gabriel Weinstein,3.923
73,2014-10-14,Testament of Youth, History Drama War,7.281,27.24,"Testament of Youth is a powerful story of love, war and remembrance, based on the First World War memoir by Vera Brittain, which has become the classic testimony of that war from a woman’s point of view. A searing journey from youthful hopes and dreams to the edge of despair and back again, it’s a film about young love, the futility of war and how to make sense of the darkest times.",en,Alicia Vikander,34.253,Kit Harington,20.682,Taron Egerton,43.618
74,2014-10-15,Fury, War Drama Action,7.525,115.285,"In the last months of World War II, as the Allies make their final push in the European theatre, a battle-hardened U.S. Army sergeant named 'Wardaddy' commands a Sherman tank called 'Fury' and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.",en,Brad Pitt,72.299,Shia LaBeouf,42.42,Logan Lerman,33.309
75,2014-10-16,Son of a Gun, Action Crime Drama Thriller,6.372,23.013,"Locked up for a minor crime, 19 year old JR quickly learns the harsh realities of prison life. Protection, if you can get it, is paramount. JR soon finds himself under the watchful eye of Australia's most notorious criminal, Brendan Lynch, but protection comes at a price.",en,Ewan McGregor,61.322,Brenton Thwaites,25.625,Alicia Vikander,34.253
76,2014-10-17,Northern Soul, Music Drama,5.7,9.314,"Set in 1974, an authentic and uplifting tale of two friends whose horizons are opened up by the discovery of black American soul music.",en,Elliot James Langridge,2.93,Josh Whitehouse,5.335,Antonia Thomas,18.542
77,2014-10-18,Robot Overlords, Science Fiction Adventure Action,4.835,19.531,"Earth has been conquered by robots from another galaxy and the human survivors must stay in their homes, or risk incineration.",en,Ben Kingsley,42.383,Gillian Anderson,27.907,Callan McAuliffe,17.019
78,2014-10-20,Treehouse, Thriller Horror Mystery,4.3,8.406,A teenage boy discovers the perpetrators of several brutal kidnappings in his home town.,en,J. Michael Trautmann,3.652,Dana Melanie,11.017,Daniel Fredrick,1.4
79,2014-10-22,The Rendlesham UFO Incident, Thriller Horror Science Fiction,4.241,7.332,"33 years after the infamous Rendlesham Forest UFO incident, three metal detector enthusiasts hunting for Saxon gold in the same region, capture incredible footage of UFO's whilst filming their expedition. As night falls and with their navigation equipment failing, they find themselves facing a terrifying encounter with an unforgiving alien presence.",en,Danny Shayler,1.4,Abbie Salt,0.6,Robert Curtis,4.339
80,2014-10-24,The Knife That Killed Me, Drama,6.8,6.037,"A journey through the memories of teenager Paul Varderman as he reflects on the events leading to the fatal moment his life is cut short. Paul moves to a new school and becomes involved with 'The Freaks', a group on the periphery of school life, those who don't fit in: scene kids, emo kids, indie kids. Outsiders. At the same time he attracts the attention of the schools twisted and manipulative bully, Roth. When Paul delivers a message from Roth to the leader of a gang at a rival school, it sparks a dangerous feud. Faced with growing pressures from both groups, Paul must decide where his friendship lies, a decision that may cost him his life.",en,Jack McMullen,7.025,Reece Dinsdale,16.036,Jamie Shelton,1.96
